此版不再维护,#genre#
CCTV1,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0127
CCTV2,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0244
CCTV3,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0245
CCTV4,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0316
CCTV4欧洲,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0363
CCTV5,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0246
CCTV5+,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0128
CCTV6,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0247
CCTV7,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0248
CCTV8,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0249
CCTV9,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0478
CCTV9,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0250
CCTV10,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0251
CCTV11,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0328
CCTV12,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0252
CCTV13,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0502
CCTV14,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0253
CCTV15,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0329
CCTV16,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0388
CCTV17,http://1.15.48.2:65321/vfdgrtygdfgd000/a.php?id=0326

CCTV1,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv1
CCTV2,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv2
CCTV3,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv3
CCTV4,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv4
CCTV5,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv5
CCTV5+,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv5p
CCTV6,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv6
CCTV7,http://1.15.48.2:65321/vfdgrtygdfgd000/y.php?id=cctv7
